"codigo";"anio";"nombre";"clasificacion";"tematica";"alcance";"tipo_actividad";"programa";"fecha_registro"
"010";21;"Taller: “Humedales y su importancia para el equilibrio del ecosistema global""";"General";"Ambiental";"Nacional";"Taller";"ENCGA";"2021-02-23 09:41:39.572005"
"011";21;"Taller: ""Impugnabilidad Objetiva en las Fases del Procedimiento Penal Ordinario""";"Actividades Académicas (AFA)";"Penal";"Nacional";"Taller";"ENCGA";"2021-02-25 11:12:46.165407"
"012";21;"Taller: "" Investigación Documental en Ciencias Jurídica: Más allá de la Recolección de Información""";"Actividades Académicas (AFA)";"Penal";"Nacional";"Taller";"ENCGA";"2021-02-25 11:18:06.055285"
"013";21;"Taller: ""El Fraude Electrónico como forma de Criminalidad Actual""";"Actividades Académicas (AFA)";"Legitimación de Capitales";"Nacional";"Taller";"ENCGA";"2021-02-25 11:23:04.334014"
"001";21;"Taller: ""Procedimientos a seguir por funcionarios y funcionarias policiales en materia de Violencia de Género”";"General";"Defensa de la Mujer";"Nacional";"Taller";"ENCGA";"2021-02-18 10:25:00.367659"
"002";21;"Taller: “Mujer y Acceso a la Justicia  (Ley Orgánica sobre el  Derecho de las Mujeres a una vida libre de violencia)” ";"General";"Defensa de la Mujer";"Nacional";"Taller";"ECGA";"2021-02-18 10:32:00.219866"
"014";21;"Taller: ""Derecho de la Mujer a una vida Libre de Violencia""";"General";"Defensa de la Mujer";"Nacional";"Taller";"ENCGA";"2021-02-25 11:36:34.4932"
"015";21;"Taller: ""Lavado y Recuperación de Activos y su Comparación con la Legislación Suramericana""";"Actividades Académicas (AFA)";"Legitimación de Capitales";"Nacional";"Taller";"ENCGA";"2021-02-25 11:41:55.28174"
"004";21;"Taller: "" Oratoria, Comunicación Efectiva y Neuro Oratoria”";"General";"Desarrollo Profesional";"Nacional";"Taller";"ECGA";"2021-02-18 10:56:57.093012"
"029";21;"Curso: ""Operalización de las variables en Investigación (eventos de estudio)""";"Actividades Académicas (AFA)";"Desarrollo Profesional";"Nacional";"Curso";"ENCGA";"2021-03-04 10:31:53.67075"
"005";21;"Taller: ""Cuerpos encargados de la Seguridad del Estado y su responsabilidad Penal ante la Ley Especial para Prevenir y Sancionar la Tortura y otros Tratos Crueles o Degradantes""";"General";"Derechos Humanos";"Nacional";"Taller";"ECGA";"2021-02-18 11:08:29.419618"
"024";21;"Programa de Formación Integral para Fiscales del Ministerio Público";"General";"Desarrollo Profesional";"Nacional";"Programa";"ENCGA";"2021-02-25 13:12:59.020851"
"006";21;"Taller: ""Los delitos y las criptomonedas en el sistema jurídico venezolano""";"Actividades Académicas (AFA)";"Contra la Corrupción";"Nacional";"Taller";"ECGA";"2021-02-18 11:24:04.442875"
"007";21;"Taller: ""Materiales Estratégicos""";"Actividades Académicas Externas a la Sede (AES)";"Ambiental";"Nacional";"Taller";"ECGA";"2021-02-18 11:51:38.575762"
"008";21;"Taller: ""Crímenes contra la vida y la libertad sexual en el ordenamiento jurídico venezolano""";"Actividades Académicas (AFA)";"Derechos Humanos";"Nacional";"Taller";"ENCGA";"2021-02-18 11:55:31.511604"
"009";21;"Taller: ""La criminalística y la teoría del caso""";"Actividades Académicas (AFA)";"Criminalistica";"Nacional";"Taller";"ENCGA";"2021-02-18 12:09:18.025283"
"016";21;"Taller: ""Cálculo y Cómputo de la Pena""";"Actividades Académicas (AFA)";"Penal";"Nacional";"Taller";"ENCGA";"2021-02-25 11:53:50.718017"
"017";21;"Taller: ""Forma, tipo de Violencia de Género, medidas de protección y seguridad""";"Actividades Académicas (AFA)";"Derechos Humanos";"Nacional";"Taller";"ENCGA";"2021-02-25 11:56:04.223245"
"003";21;"Taller: ""Un Reto Humano: expectativas y estrategias para el logro de nuestros propósitos”";"General";"Desarrollo Profesional";"Nacional";"Taller";"ECGA";"2021-02-23 09:38:45.829949"
"018";21;"Taller: ""Rol del fiscal del Ministerio Público en la fijación de Régimen de Convivencia Familiar""";"General";"Familia";"Nacional";"Taller";"ENCGA";"2021-02-25 11:59:32.951895"
"019";21;"Taller: ""Fuegos artificiales, consideraciones Penales Ambientales""";"General";"Ambiental";"Nacional";"Taller";"ENCGA";"2021-02-25 12:20:18.266823"
"025";21;"Diplomado: Módulo I: Investigación Penal ";"Diplomados y Especializaciones";"Penal";"Nacional";"Diplomado";"ENCGA";"2021-03-02 13:36:41.907372"
"020";21;"Taller: ""Estrategias de Investigación en materia Contra la Corrupción""";"General";"Contra la Corrupción";"Nacional";"Taller";"ENCGA";"2021-02-25 12:44:23.683782"
"021";21;"Taller: ""Propiedad intelectual""";"General";"Desarrollo Profesional";"Nacional";"Taller";"ENCGA";"2021-02-25 12:55:20.095919"
"022";21;"Taller: ""Diferencias y semejanzas entre los delitos de Hurto y Peculado y Concusión y Extorsión""";"General";"Contra la Corrupción";"Nacional";"Taller";"ENCGA";"2021-02-25 13:00:10.595571"
